company_name,segment,primary_solution,secondary_solution,warranty_solution_fit_score,supply_chain_solution_fit_score,dealer_solution_fit_score,fit_reason,evidence_notes
Samvardhana Motherson International,Tier-1 Supplier,Supply Chain Risk Prediction,Warranty Analytics,6,8,0,"Samvardhana Motherson International shows Medium warranty complexity, High supply chain complexity, Low dealer/service complexity, Low EV transition complexity, and Low aftermarket opportunity.","Complex supplier and manufacturing network makes supply chain risk prediction highly relevant. Live evidence keywords: component, manufacturing. Recent news evidence: India's Samvardhana Motherson quarterly profit rises on strong auto parts demand - Reuters | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Abu Dhabi Backs Motherson's Automotive Plant in KEZAD Industrial Zone - Autocar Professional | Motherson partners ADIO for auto components manufacturing hub in Abu Dhabi; 1,000 jobs planned - Fortun. Live web summary: India's Samvardhana Motherson quarterly profit rises on strong auto parts demand - Reuters | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Abu Dhabi Backs Motherson's Automotive Plant in KEZAD Industrial Zone - Autocar Professional | Motherson partners ADIO for auto components manufacturing hub in Abu Dhabi; 1,000 jobs planned - Fortun."
Bosch India,Tier-1 Supplier,Supply Chain Risk Prediction,Dealer & Field Service Intelligence,4,6,5,"Bosch India shows Medium warranty complexity, Medium supply chain complexity, Low dealer/service complexity, Low EV transition complexity, and Medium aftermarket opportunity.","Technology-heavy portfolio and aftermarket exposure create analytics opportunities. Live evidence keywords: customer, mobility, quality, service. Recent news evidence: Bosch in India - Bosch Global | Bosch's India unit posts quarterly profit rise on strong auto parts, electronics demand - Reuters | Bosch plans to acquire Bosch Chassis Systems India to strengthen portfolio - ET Auto | Bosch Limited to acquire Bosch Chassis Systems India for ₹9,068.68 crore - The Hindu | Bosch Ltd to Acquire Bosch Chassis Systems India in Full Buyout to Strengthen Automotive Safet. Live web summary: Bosch in India - Bosch Global | Bosch's India unit posts quarterly profit rise on strong auto parts, electronics demand - Reuters | Bosch plans to acquire Bosch Chassis Systems India to strengthen portfolio - ET Auto | Bosch Limited to acquire Bosch Chassis Systems India for ₹9,068.68 crore - The Hindu | Bosch Ltd to Acquire Bosch Chassis Systems India in Full Buyout to Strengthen Automotive Safet."
Bharat Forge,Component Manufacturer,Supply Chain Risk Prediction,Warranty Analytics,2,8,1,"Bharat Forge shows Low warranty complexity, High supply chain complexity, Low dealer/service complexity, Low EV transition complexity, and Low aftermarket opportunity.","Manufacturing scale and export exposure indicate supply chain and quality analytics fit. Live evidence keywords: ev, mobility, service. Recent news evidence: Bharat Forge arm and Paramount unveil made-in-India next-gen armoured vehicle at global stage - The Times of India | Global Automotive Crankshaft Market: Top Companies Held Nearly 53% Share In 2024 - Autopunditz | Bharat Forge arm, Paramount unveil next-generation Simha 4x4 armoured vehicle: What are its key features? - The Economic Times | Bharat Forge, Sona BLW, other auto ancillary stocks in fo. Live web summary: Bharat Forge arm and Paramount unveil made-in-India next-gen armoured vehicle at global stage - The Times of India | Global Automotive Crankshaft Market: Top Companies Held Nearly 53% Share In 2024 - Autopunditz | Bharat Forge arm, Paramount unveil next-generation Simha 4x4 armoured vehicle: What are its key features? - The Economic Times | Bharat Forge, Sona BLW, other auto ancillary stocks in fo."
Uno Minda,Tier-1 Supplier,Warranty Analytics,Supply Chain Risk Prediction,10,10,0,"Uno Minda shows High warranty complexity, High supply chain complexity, Low dealer/service complexity, Medium EV transition complexity, and Low aftermarket opportunity.","Multi-product portfolio and OEM supply relationships indicate strong supply chain analytics need. Live evidence keywords: commercial vehicle, component, ev, mobility. Recent news evidence: Uno Minda aims to power every future vehicle, regardless of technology: Chairman Nirmal Minda - ET Auto | ‘Uno Minda Is Positioned to Aggressively Expand Its Global Footprint,’ Says Nirmal Minda - Autocar Professional | Uno Minda to Launch EV Powertrain and Sunroof Business - Entrepreneur India | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopun. Live web summary: Uno Minda aims to power every future vehicle, regardless of technology: Chairman Nirmal Minda - ET Auto | ‘Uno Minda Is Positioned to Aggressively Expand Its Global Footprint,’ Says Nirmal Minda - Autocar Professional | Uno Minda to Launch EV Powertrain and Sunroof Business - Entrepreneur India | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopun."
Sona BLW Precision Forgings,Component Manufacturer,Supply Chain Risk Prediction,Warranty Analytics,10,12,0,"Sona BLW Precision Forgings shows High warranty complexity, High supply chain complexity, Low dealer/service complexity, Medium EV transition complexity, and Low aftermarket opportunity.","EV component exposure and precision manufacturing create strong analytics relevance. Live evidence keywords: component, connected, electric, ev, manufacturing, mobility, quality, supplier. Recent news evidence: India’s Biggest Auto IPOs: How Mobility Became A Major Dalal Street Theme - Autopunditz | Strong EV demand, diversified portfolio to sustain growth for Sona BLW - Business Standard | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Auto stocks to buy with up to 47% potential upside, ahead of May auto sales data - Business To. Live web summary: India’s Biggest Auto IPOs: How Mobility Became A Major Dalal Street Theme - Autopunditz | Strong EV demand, diversified portfolio to sustain growth for Sona BLW - Business Standard | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Auto stocks to buy with up to 47% potential upside, ahead of May auto sales data - Business To."
Endurance Technologies,Component Manufacturer,Supply Chain Risk Prediction,Warranty Analytics,6,8,0,"Endurance Technologies shows Medium warranty complexity, High supply chain complexity, Low dealer/service complexity, Low EV transition complexity, and Low aftermarket opportunity.","Manufacturing scale and OEM dependency create supply chain and quality analytics fit. Live evidence keywords: component, manufacturing, production. Recent news evidence: Endurance Technologies IPO Opens, Aims to Raise Nearly Rs 1,162 Crore - Interim Report - dars.gov.et | Endurance Technologies Completes Italian Subsidiary Merger - Autocar Professional | Endurance Technologies expands ABS production capacity - Manufacturing Today India | How Anurang Jain turned Endurance into a global auto components powerhouse - Forbes India | Rajshekhar G Sindhanakera Appointed . Live web summary: Endurance Technologies IPO Opens, Aims to Raise Nearly Rs 1,162 Crore - Interim Report - dars.gov.et | Endurance Technologies Completes Italian Subsidiary Merger - Autocar Professional | Endurance Technologies expands ABS production capacity - Manufacturing Today India | How Anurang Jain turned Endurance into a global auto components powerhouse - Forbes India | Rajshekhar G Sindhanakera Appointed ."
Varroc Engineering,Component Manufacturer,Supply Chain Risk Prediction,Warranty Analytics,10,12,0,"Varroc Engineering shows High warranty complexity, High supply chain complexity, Low dealer/service complexity, Medium EV transition complexity, and Low aftermarket opportunity.","Lighting/electronics complexity makes quality and supply chain analytics relevant. Live evidence keywords: aftermarket, component, electric, ev, manufacturing, mobility. Recent news evidence: Varroc Engineering Wins ET AutoTech Award 2026 for In Cabin Innovation and Smart Vehicle Technology Excellence - chshyd.in | Varroc Engineering Wins ET AutoTech Award 2026 - Machine Maker | Varroc eyes India’s growing digital cockpit market with China’s Tolyy - ET Auto | Varroc Engineering Secures Major High Voltage Electronics Contract with EV Manufacturer - Autocar Professional | Varroc Engineer. Live web summary: Varroc Engineering Wins ET AutoTech Award 2026 for In Cabin Innovation and Smart Vehicle Technology Excellence - chshyd.in | Varroc Engineering Wins ET AutoTech Award 2026 - Machine Maker | Varroc eyes India’s growing digital cockpit market with China’s Tolyy - ET Auto | Varroc Engineering Secures Major High Voltage Electronics Contract with EV Manufacturer - Autocar Professional | Varroc Engineer."
Amara Raja Energy & Mobility,Component Manufacturer,Supply Chain Risk Prediction,Warranty Analytics,9,11,6,"Amara Raja Energy & Mobility shows Medium warranty complexity, High supply chain complexity, Medium dealer/service complexity, Medium EV transition complexity, and Medium aftermarket opportunity.","Battery warranty, aftermarket channel, and EV ecosystem create strong analytics fit. Live evidence keywords: battery, ev, mobility, service. Recent news evidence: China curbs no bar: Amara Raja goes solo to unlock homegrown battery tech for India - Business Today | Amara Raja plans ₹1,700 crore capex push for FY27; targets Q1 FY28 lithium plant launch - ET Auto | Amara Raja Energy & Mobility's (NSE:ARE&M) Problems Go Beyond Weak Profit - simplywall.st | Amara Raja Posts Strong FY26 Revenue Growth at 13,549 Crore - Entrepreneur India | Amara Raja Energy & Mo. Live web summary: China curbs no bar: Amara Raja goes solo to unlock homegrown battery tech for India - Business Today | Amara Raja plans ₹1,700 crore capex push for FY27; targets Q1 FY28 lithium plant launch - ET Auto | Amara Raja Energy & Mobility's (NSE:ARE&M) Problems Go Beyond Weak Profit - simplywall.st | Amara Raja Posts Strong FY26 Revenue Growth at 13,549 Crore - Entrepreneur India | Amara Raja Energy & Mo."
Exide Industries,Component Manufacturer,Supply Chain Risk Prediction,Dealer & Field Service Intelligence,5,9,9,"Exide Industries shows Medium warranty complexity, High supply chain complexity, Medium dealer/service complexity, Low EV transition complexity, and Medium aftermarket opportunity.","Warranty and aftermarket data make this a strong fit for warranty and channel intelligence. Live evidence keywords: battery, ev, export, manufacturing. Recent news evidence: Exide Industries rallies 7% on huge volumes, nears 52-week high; here's why - Business Standard | Indian battery maker Exide's quarterly profit rises 22% on auto demand - Reuters | Best Battery Stocks in India 2026 - Groww | Exide Industries Introduces AGMi – A Future-Ready AGM Battery Range for Advanced Passenger Vehicles - ThePrint | Exide Industries to grow exports by taking advantage of trade . Live web summary: Exide Industries rallies 7% on huge volumes, nears 52-week high; here's why - Business Standard | Indian battery maker Exide's quarterly profit rises 22% on auto demand - Reuters | Best Battery Stocks in India 2026 - Groww | Exide Industries Introduces AGMi – A Future-Ready AGM Battery Range for Advanced Passenger Vehicles - ThePrint | Exide Industries to grow exports by taking advantage of trade ."
Minda Corporation,Tier-1 Supplier,Supply Chain Risk Prediction,Warranty Analytics,10,12,0,"Minda Corporation shows High warranty complexity, High supply chain complexity, Low dealer/service complexity, Medium EV transition complexity, and Low aftermarket opportunity.","Electronics and OEM supply relationships indicate analytics fit. Live evidence keywords: battery, component, electric, ev, manufacturing, mobility. Recent news evidence: Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Minda Corporation Reports Rs 6,185 Crore Revenue In FY2026, EBITDA Stands At Rs 721 Crore - BW Auto World | Spark Minda Green Mobility forms JV with UK-based Turntide to develop next-gen powertrain solutions - ET Auto | Minda Corporation and Turntide Technologies Form Joint Venture for Indi. Live web summary: Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Minda Corporation Reports Rs 6,185 Crore Revenue In FY2026, EBITDA Stands At Rs 721 Crore - BW Auto World | Spark Minda Green Mobility forms JV with UK-based Turntide to develop next-gen powertrain solutions - ET Auto | Minda Corporation and Turntide Technologies Form Joint Venture for Indi."
JBM Auto,OEM / Component Manufacturer,Warranty Analytics,Supply Chain Risk Prediction,10,10,5,"JBM Auto shows High warranty complexity, High supply chain complexity, Medium dealer/service complexity, Medium EV transition complexity, and Low aftermarket opportunity.","EV bus operations create field service, warranty, and supply chain analytics opportunities. Live evidence keywords: charging, component, electric, ev. Recent news evidence: JBM Electric Vehicles Teams Up with Al Habtoor Motors to Bring E-Buses to the UAE - Machine Maker | JBM Auto Leads India’s Electric Bus Market with 49% Share in May 2026 - Passionate In Marketing | Bosch, JBM Auto, Igarashi rally up to 12%; why are OEM shares in demand? - Business Standard | Olectra Greentech, JBM Auto shares rally up to 7.6%; what investors need to know - Upstox | JBM Auto Shares. Live web summary: JBM Electric Vehicles Teams Up with Al Habtoor Motors to Bring E-Buses to the UAE - Machine Maker | JBM Auto Leads India’s Electric Bus Market with 49% Share in May 2026 - Passionate In Marketing | Bosch, JBM Auto, Igarashi rally up to 12%; why are OEM shares in demand? - Business Standard | Olectra Greentech, JBM Auto shares rally up to 7.6%; what investors need to know - Upstox | JBM Auto Shares."
Sundaram Clayton,Component Manufacturer,Supply Chain Risk Prediction,Warranty Analytics,6,8,0,"Sundaram Clayton shows Medium warranty complexity, High supply chain complexity, Low dealer/service complexity, Low EV transition complexity, and Low aftermarket opportunity.","Precision manufacturing and OEM supply make supply chain and quality analytics relevant. Live evidence keywords: ev, expansion. Recent news evidence: Sundaram Clayton climbs after appointing R Venkatesh as CEO - Business Standard | Sundaram Clayton Reports 9% EBITDA Growth Despite Revenue Decline in Q2 FY2025-26 - scanx.trade | Lakshmi Venu: The Trailblazer Shaping India’s Automotive Future - Her Circle | Venu Srinivasan returns as chairman and MD of Sundaram Clayton - Business Standard | IN - Here’s how Sundaram-Clayton’s new foundry in Chenna. Live web summary: Sundaram Clayton climbs after appointing R Venkatesh as CEO - Business Standard | Sundaram Clayton Reports 9% EBITDA Growth Despite Revenue Decline in Q2 FY2025-26 - scanx.trade | Lakshmi Venu: The Trailblazer Shaping India’s Automotive Future - Her Circle | Venu Srinivasan returns as chairman and MD of Sundaram Clayton - Business Standard | IN - Here’s how Sundaram-Clayton’s new foundry in Chenna."
Gabriel India,Component Manufacturer,Dealer & Field Service Intelligence,Supply Chain Risk Prediction,4,8,9,"Gabriel India shows Medium warranty complexity, High supply chain complexity, Medium dealer/service complexity, Low EV transition complexity, and Medium aftermarket opportunity.","Aftermarket and warranty exposure create strong analytics fit. Live evidence keywords: aftermarket, commercial vehicle, manufacturing, quality. Recent news evidence: Gabriel India appoints Prabhu Lakshmi Pathy as Senior VP, Chief Manufacturing and Quality Officer - ET Auto | Gabriel India Shares Rally 690% In 5 Years; Motilal Oswal Sees 30% Upside Potential - Samco | Motilal Oswal 'bull case' sees 71% upside in this auto parts manufacturer - CNBC TV18 | Here's Why We Think Gabriel India (NSE:GABRIEL) Might Deserve Your Attention Today - simplywall.st | Stocks . Live web summary: Gabriel India appoints Prabhu Lakshmi Pathy as Senior VP, Chief Manufacturing and Quality Officer - ET Auto | Gabriel India Shares Rally 690% In 5 Years; Motilal Oswal Sees 30% Upside Potential - Samco | Motilal Oswal 'bull case' sees 71% upside in this auto parts manufacturer - CNBC TV18 | Here's Why We Think Gabriel India (NSE:GABRIEL) Might Deserve Your Attention Today - simplywall.st | Stocks ."
MRF,Component Manufacturer,Dealer & Field Service Intelligence,Supply Chain Risk Prediction,4,6,10,"MRF shows Medium warranty complexity, Medium supply chain complexity, Medium dealer/service complexity, Low EV transition complexity, and High aftermarket opportunity.","Large aftermarket and warranty exposure make dealer and warranty analytics relevant. Live evidence keywords: dealer, ev, export, service. Recent news evidence: Indian Tyre Brands Shine Globally: MRF, CEAT & Apollo Among World’s Strongest Tyre Brands in 2026 - Autopunditz | MRF's Arun Mammen re-elected as chairman of Automotive Tyre Manufacturers' Association - ET Auto | MRF to invest €500m in new tire plant in India - European Rubber Journal | MRF Vice Chairman and MD Arun Mammen re-elected as ATMA chairman - Business Standard | New mileage pitch, MRF ZL. Live web summary: Car Tyres | Bike Tyres by official website of MRF Tyres MRF is the largest manufacturer of tyres in India. Established in 1946 and headquartered in Chennai, MRF exports tyres to over 90 markets abroad. The company manufactures a wide range of products including tyres, treads, tubes & conveyor belts, paints and toys. Choose a tyre Tyres & Services Newsletter Who We Are Milestones Awards & Achieveme."
CEAT,Component Manufacturer,Dealer & Field Service Intelligence,Warranty Analytics,4,2,10,"CEAT shows Medium warranty complexity, Low supply chain complexity, Medium dealer/service complexity, Low EV transition complexity, and High aftermarket opportunity.","Replacement market and dealer/channel network create opportunity for dealer and warranty analytics. Live evidence keywords: ev. Recent news evidence: Indian Tyre Brands Shine Globally: MRF, CEAT & Apollo Among World’s Strongest Tyre Brands in 2026 - Autopunditz | SUV preference remains intact despite GST 2.0 lift for small cars: CEAT MD - ET Auto | CEAT launches India's first car tyre with 90% bio-based content - Team-BHP | Maruti, Tata Motors, Hyundai India: Is the rise in small car demand after GST cuts sustainable? Check what CEAT MD says - . Live web summary: Indian Tyre Brands Shine Globally: MRF, CEAT & Apollo Among World’s Strongest Tyre Brands in 2026 - Autopunditz | SUV preference remains intact despite GST 2.0 lift for small cars: CEAT MD - ET Auto | CEAT launches India's first car tyre with 90% bio-based content - Team-BHP | Maruti, Tata Motors, Hyundai India: Is the rise in small car demand after GST cuts sustainable? Check what CEAT MD says - ."
