company_name,source_name,source_url,source_type,fetch_status,http_status,page_title,meta_description,headings,evidence_snippet,evidence_keywords,error
Eicher Motors,Google News RSS,https://news.google.com/rss/search?q=%22Eicher+Motors%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Eicher Motors,,"Vikram Lal and Family: The Business Dynasty Behind Royal Enfield’s ₹90,000-Crore Fortune - Autopunditz | Eicher Motors hits record ₹50,000 crore revenue in FY26 - ET Auto | Eicher Motors and Volvo Group Establish Vehicle Financing Joint Venture in India - Autocar Professional | Volvo Group, Eicher form India financing venture - Automotive World | Five Stocks To Buy: Eternal, Trent, Eicher Motors And More | June 22, 2026 - NDTV Profit","Vikram Lal and Family: The Business Dynasty Behind Royal Enfield’s ₹90,000-Crore Fortune - Autopunditz | Eicher Motors hits record ₹50,000 crore revenue in FY26 - ET Auto | Eicher Motors and Volvo Group Establish Vehicle Financing Joint Venture in India - Autocar Professional | Volvo Group, Eicher form India financing venture - Automotive World | Five Stocks To Buy: Eternal, Trent, Eicher Motors And More | June 22, 2026 - NDTV Profit",['ev'],
Ashok Leyland,Official Company Website,https://www.ashokleyland.com,Company Information,Success,200.0,"Ashok Leyland | Commercial Vehicles, Buses, Trucks & Mobility Solutions","Explore Ashok Leyland’s full range of trucks, buses, EVs, and alternate fuel solutions. A Hinduja Group flagship delivering innovation, reliability, and global mobility leadership.",End to end solutions | Trending Products | Newsroom | Our Offerings | Innovation | Sustainability | Manufacturing Plants | Our Core Values,"Ashok Leyland | Commercial Vehicles, Buses, Trucks & Mobility Solutions Explore Ashok Leyland’s full range of trucks, buses, EVs, and alternate fuel solutions. A Hinduja Group flagship delivering innovation, reliability, and global mobility leadership. End to end solutions Trending Products Newsroom Our Offerings Innovation Sustainability Manufacturing Plants Our Core Values Trucks ICV Trucks ICV Trucks View More Boss Partner Super ecomet Star ICV Tippers Haulage Haulage View More AVTR 4525H DTLA AVTR 4625H LA AVTR 4925H DTLA 6X4 10X2 (GVW : 48T) 8X2 ( ICV Trucks ICV Trucks View More Boss Partner Super ecomet Star ICV Tippers Boss Partner Super ecomet Star ICV Tippers Haulage Haulage View More AVTR 4525H DTLA AVTR 4625H LA AVTR 4925H DTLA 6X4 10X2 (GVW : 48T) 8X2 (GVW : 35T) 6X2 (GVW : 26T - 31T) 4x2 (GVW : 19T) AVTR 4525H DTLA AVTR 4625H LA AVTR 4925H DTLA 6X4 10X2 (GVW : 48T) 8X2 (GVW ","['commercial vehicle', 'ev', 'manufacturing', 'mobility']",
Hyundai Motor India,Google News RSS,https://news.google.com/rss/search?q=%22Hyundai+Motor+India%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Hyundai Motor India,,"Hyundai Motor India Reports 51,335 Sales in June 2026 Despite Production Disruption - Autopunditz | HMIL introduces Battery-as-a-Service (BaaS) for CRETA Electric starting at INR 10.99 lakhs - hyundai.com | Hyundai Motor India posts June sales of 51,335 units despite supplier fire disruption - The Economic Times | Hyundai Motor India sales decline 10% to 39,635 units in June - ET Auto | Hyundai Motor India Posts Total Sales of 51,335 Units in June - HDFC Sky","Hyundai Motor India Reports 51,335 Sales in June 2026 Despite Production Disruption - Autopunditz | HMIL introduces Battery-as-a-Service (BaaS) for CRETA Electric starting at INR 10.99 lakhs - hyundai.com | Hyundai Motor India posts June sales of 51,335 units despite supplier fire disruption - The Economic Times | Hyundai Motor India sales decline 10% to 39,635 units in June - ET Auto | Hyundai Motor India Posts Total Sales of 51,335 Units in June - HDFC Sky","['battery', 'electric', 'production', 'service', 'supplier']",
TVS Motor Company,Official Company Website,https://www.tvsmotor.com,Company Information,Success,200.0,"Best Two Wheeler In India- Bike, Scooter, Motorcycle | TVS Motor","TVS Motor Company - One of the largest 2-wheeler companies in the world. Discover our racing-inspired Apache bikes, commuter motorcycles, scooters, mopeds, & 3-wheelers. Visit Now!",Select Country | Africa | Asia | Europe | Middle East and CIS | North America | South America | South East Asia,"Best Two Wheeler In India- Bike, Scooter, Motorcycle | TVS Motor TVS Motor Company - One of the largest 2-wheeler companies in the world. Discover our racing-inspired Apache bikes, commuter motorcycles, scooters, mopeds, & 3-wheelers. Visit Now! Select Country Africa Asia Europe Middle East and CIS North America South America South East Asia TVS King Duramax Plus",[],
Bajaj Auto,Official Company Website,https://www.bajajauto.com,Company Information,Success,200.0,"Bajaj Auto - Bikes, Scooters, Three Wheelers & Qute (2026)","Discover Bajaj Auto motorcycles, scooters, electric vehicles, three wheelers & qute. Explore latest models, features, prices, offers & book a test ride online.",Our Products | Motorcycles | Chetak | 3 Wheelers & Qute | Ktm | Triumph | International Business | Start Your Exchange,"Bajaj Auto - Bikes, Scooters, Three Wheelers & Qute (2026) Discover Bajaj Auto motorcycles, scooters, electric vehicles, three wheelers & qute. Explore latest models, features, prices, offers & book a test ride online. Our Products Motorcycles Chetak 3 Wheelers & Qute Ktm Triumph International Business Start Your Exchange CHECK FINANCE OFFERS Call Us: +91 7219821111 Email: customerservice@bajajauto.co.in","['customer', 'electric', 'service']",
Toyota Kirloskar Motor,Google News RSS,https://news.google.com/rss/search?q=%22Toyota+Kirloskar+Motor%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Toyota Kirloskar Motor,,"Contaminated fuel, not E20, responsible for vehicle issue: Toyota Kirloskar Motor - The Economic Times | TToyota June 2026 Sales: TKM Registers 31,016 Units, Domestic Sales Up 8% YoY - Autopunditz | Toyota Kirloskar Motor Registers 7% YoY Growth in June 2026 - ACKO Drive | 'It's A Myth': Toyota Kirloskar Top Boss Clears Air On E20 Damage, Says Fuel 'Safe For Old And New Cars' - ETV Bharat | Toyota Kirloskar Motor crosses 31,000 units in June - Manufacturing Today India","Contaminated fuel, not E20, responsible for vehicle issue: Toyota Kirloskar Motor - The Economic Times | TToyota June 2026 Sales: TKM Registers 31,016 Units, Domestic Sales Up 8% YoY - Autopunditz | Toyota Kirloskar Motor Registers 7% YoY Growth in June 2026 - ACKO Drive | 'It's A Myth': Toyota Kirloskar Top Boss Clears Air On E20 Damage, Says Fuel 'Safe For Old And New Cars' - ETV Bharat | Toyota Kirloskar Motor crosses 31,000 units in June - Manufacturing Today India",['manufacturing'],
Samvardhana Motherson International,Google News RSS,https://news.google.com/rss/search?q=%22Samvardhana+Motherson+International%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Samvardhana Motherson International,,"India's Samvardhana Motherson quarterly profit rises on strong auto parts demand - Reuters | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Abu Dhabi Backs Motherson's Automotive Plant in KEZAD Industrial Zone - Autocar Professional | Motherson partners ADIO for auto components manufacturing hub in Abu Dhabi; 1,000 jobs planned - Fortune India | Samvardhana Motherson establishes automotive lighting facility in Gujarat - Business Standard","India's Samvardhana Motherson quarterly profit rises on strong auto parts demand - Reuters | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Abu Dhabi Backs Motherson's Automotive Plant in KEZAD Industrial Zone - Autocar Professional | Motherson partners ADIO for auto components manufacturing hub in Abu Dhabi; 1,000 jobs planned - Fortune India | Samvardhana Motherson establishes automotive lighting facility in Gujarat - Business Standard","['component', 'manufacturing']",
Bosch India,Google News RSS,https://news.google.com/rss/search?q=%22Bosch+India%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Bosch India,,"Bosch in India - Bosch Global | Bosch's India unit posts quarterly profit rise on strong auto parts, electronics demand - Reuters | Bosch plans to acquire Bosch Chassis Systems India to strengthen portfolio - ET Auto | Bosch Limited to acquire Bosch Chassis Systems India for ₹9,068.68 crore - The Hindu | Bosch Ltd to Acquire Bosch Chassis Systems India in Full Buyout to Strengthen Automotive Safety Portfolio - ACKO Drive","Bosch in India - Bosch Global | Bosch's India unit posts quarterly profit rise on strong auto parts, electronics demand - Reuters | Bosch plans to acquire Bosch Chassis Systems India to strengthen portfolio - ET Auto | Bosch Limited to acquire Bosch Chassis Systems India for ₹9,068.68 crore - The Hindu | Bosch Ltd to Acquire Bosch Chassis Systems India in Full Buyout to Strengthen Automotive Safety Portfolio - ACKO Drive",[],
Toyota Kirloskar Motor,Official Company Website,https://www.toyotabharat.com,Company Information,Success,200.0,Toyota India | Official Website,"Official Website of Toyota in India, Discover the Toyota range, Check out our wide range of services, Press Release, Find a dealer, Test Drive, Price List, Buy Now, Brochure, Exchange Car",Discover the Toyota range | What's Awesome | More from Toyota,"Toyota India | Official Website Official Website of Toyota in India, Discover the Toyota range, Check out our wide range of services, Press Release, Find a dealer, Test Drive, Price List, Buy Now, Brochure, Exchange Car Discover the Toyota range What's Awesome More from Toyota Unfolds on 20-01-2022 Thank you for visiting Toyotabharat.com and showing interest in Toyota's range of products. We are processing your request and will get in touch with you shortly. We thank you once again for your time and effort.","['dealer', 'service']",
Hero MotoCorp,Official Company Website,https://www.heromotocorp.com,Company Information,Success,200.0,Hero MotoCorp - India's Leading Two-Wheeler Manufacturer,"Explore the world of Hero MotoCorp, India's favorite two-wheeler manufacturer. Explore our range of stylish and powerful two-wheelers. Find your dream ride now!",Please Select Your Country | Hero Premia - A new horizon of experiences | Hero Premia - A new horizon of experiences | Accessories | Merchandise | GoodLife,"Hero MotoCorp - India's Leading Two-Wheeler Manufacturer Explore the world of Hero MotoCorp, India's favorite two-wheeler manufacturer. Explore our range of stylish and powerful two-wheelers. Find your dream ride now! Please Select Your Country Hero Premia - A new horizon of experiences Hero Premia - A new horizon of experiences Accessories Merchandise GoodLife",['two-wheeler'],
Bosch India,Official Company Website,https://www.bosch.in,Company Information,Success,200.0,Home | Bosch in India,"Invented for life: we want our products to spark enthusiasm, improve quality of life, and help conserve natural resources.",The Bosch Limited Annual Report 2024-25 | Get in touch with us | News | Find your way to our products | Bosch on social media | Bosch customer service,"Home | Bosch in India Invented for life: we want our products to spark enthusiasm, improve quality of life, and help conserve natural resources. The Bosch Limited Annual Report 2024-25 Get in touch with us News Find your way to our products Bosch on social media Bosch customer service Products and services Main Navigation Products and services Overview Mobility At home Industry and trades Products and services Our company Main Navigation Our company Bosch in India Our responsibility Main Navigation Our company Overview Our responsibility Overview Corporate Social Responsibility Our value Our responsibility Main Navigation Our company Overview Our responsibility Overview Corporate Social Responsibility Our values Compliance Corporate Social Responsibility Our history Main Navigation Our company Overview Our history Overview A journey through our history A journey through our history Share","['customer', 'mobility', 'quality', 'service']",
Bharat Forge,Google News RSS,https://news.google.com/rss/search?q=%22Bharat+Forge%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Bharat Forge,,"Bharat Forge arm and Paramount unveil made-in-India next-gen armoured vehicle at global stage - The Times of India | Global Automotive Crankshaft Market: Top Companies Held Nearly 53% Share In 2024 - Autopunditz | Bharat Forge arm, Paramount unveil next-generation Simha 4x4 armoured vehicle: What are its key features? - The Economic Times | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Bharat Forge arm unveils next-generation Simha 4x4 armoured vehicle at Eurosatory 2026, targets global defence markets - Fortune India","Bharat Forge arm and Paramount unveil made-in-India next-gen armoured vehicle at global stage - The Times of India | Global Automotive Crankshaft Market: Top Companies Held Nearly 53% Share In 2024 - Autopunditz | Bharat Forge arm, Paramount unveil next-generation Simha 4x4 armoured vehicle: What are its key features? - The Economic Times | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Bharat Forge arm unveils next-generation Simha 4x4 armoured vehicle at Eurosatory 2026, targets global defence markets - Fortune India",[],
Uno Minda,Google News RSS,https://news.google.com/rss/search?q=%22Uno+Minda%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Uno Minda,,"Uno Minda aims to power every future vehicle, regardless of technology: Chairman Nirmal Minda - ET Auto | ‘Uno Minda Is Positioned to Aggressively Expand Its Global Footprint,’ Says Nirmal Minda - Autocar Professional | Uno Minda to Launch EV Powertrain and Sunroof Business - Entrepreneur India | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Uno Minda to invest Rs 550 crore in establishing second plant for EV powertrain - The New Indian Express","Uno Minda aims to power every future vehicle, regardless of technology: Chairman Nirmal Minda - ET Auto | ‘Uno Minda Is Positioned to Aggressively Expand Its Global Footprint,’ Says Nirmal Minda - Autocar Professional | Uno Minda to Launch EV Powertrain and Sunroof Business - Entrepreneur India | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Uno Minda to invest Rs 550 crore in establishing second plant for EV powertrain - The New Indian Express","['component', 'ev']",
Endurance Technologies,Official Company Website,https://www.endurancegroup.com,Company Information,Failed,403.0,,,,,[],HTTP status 403
Samvardhana Motherson International,Official Company Website,https://www.motherson.com,Company Information,Success,200.0,Motherson Group,Motherson Group - Proud to be part of.,"A diversified global design, engineering, manufacturing, assembly, and logistics specialist | Ordinary people doing extraordinary things | Investors in Motherson | Company Updates | Looking for a specific Motherson address?","Motherson Group Motherson Group - Proud to be part of. A diversified global design, engineering, manufacturing, assembly, and logistics specialist Ordinary people doing extraordinary things Investors in Motherson Company Updates Looking for a specific Motherson address? Company Business Divisions Five-year Plans Sustainability and Global Citizenship Partnerships History Group Policies Global Presence Our story: Locally Made, Globally Preferred Business Divisions Five-year Plans Sustainability and Global Citizenship Partnerships History Five-year Plans Sustainability and Global Citizenship Partnerships History Sustainability and Global Citizenship Partnerships History Group Policies Global Presence People Careers and internships Our story: Be part of something bigger Careers and internships Performance Investors in Motherson Our story: Creating long term value for stakeholders Investors i",['manufacturing'],
Bharat Forge,Official Company Website,https://www.bharatforge.com,Company Information,Success,200.0,"Leading Forging Company in India | Bharat Forge Pune, India","Bharat Forge is one of the leading forging companies in India. A preferred technology and engineering driven development partner and global leader in metal forming, Bharat Forge serves several sectors including Automotive, Railways, Aerospace, Marine, Oil and Gas, Power, Construction and Mining.",,"Leading Forging Company in India | Bharat Forge Pune, India Bharat Forge is one of the leading forging companies in India. A preferred technology and engineering driven development partner and global leader in metal forming, Bharat Forge serves several sectors including Automotive, Railways, Aerospace, Marine, Oil and Gas, Power, Construction and Mining. Media Press Releases Brand Identity Media Kit Brand Movies CCI Form III publication Press Releases Brand Identity Media Kit Brand Movies CCI Form III publication Brand Identity Media Kit Brand Movies CCI Form III publication CCI Form III publication Company x Company About Us Glimpse of Our Work Leadership Inspired Innovation Full Service Supply Capability Legacy Certifications Awards and Recognitions Full Service Supply Capability Awards and Recognitions Business x Business Automotive Power Oil & Gas Rail Marine Aerospace Construction &","['ev', 'mobility', 'service']",
Sona BLW Precision Forgings,Google News RSS,https://news.google.com/rss/search?q=%22Sona+BLW+Precision+Forgings%22+automotive+India&hl=en-IN&gl=IN&ceid=IN:en,Business News,Success,200.0,Google News RSS results for Sona BLW Precision Forgings,,"India’s Biggest Auto IPOs: How Mobility Became A Major Dalal Street Theme - Autopunditz | Strong EV demand, diversified portfolio to sustain growth for Sona BLW - Business Standard | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Auto stocks to buy with up to 47% potential upside, ahead of May auto sales data - Business Today | Sona BLW Precision Forgings Ltd. posts ₹1,272 crore Q4 revenue with 47% growth - Manufacturing Today India","India’s Biggest Auto IPOs: How Mobility Became A Major Dalal Street Theme - Autopunditz | Strong EV demand, diversified portfolio to sustain growth for Sona BLW - Business Standard | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Auto stocks to buy with up to 47% potential upside, ahead of May auto sales data - Business Today | Sona BLW Precision Forgings Ltd. posts ₹1,272 crore Q4 revenue with 47% growth - Manufacturing Today India","['ev', 'manufacturing', 'mobility']",
