company_name,live_evidence_available,successful_sources,evidence_keywords,website_title,news_headlines,live_evidence_summary
Samvardhana Motherson International,True,2,"['component', 'manufacturing']",Motherson Group,"India's Samvardhana Motherson quarterly profit rises on strong auto parts demand - Reuters | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Abu Dhabi Backs Motherson's Automotive Plant in KEZAD Industrial Zone - Autocar Professional | Motherson partners ADIO for auto components manufacturing hub in Abu Dhabi; 1,000 jobs planned - Fortune India | Samvardhana Motherson establishes automotive lighting facility in Gujarat - Business Standard","India's Samvardhana Motherson quarterly profit rises on strong auto parts demand - Reuters | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Abu Dhabi Backs Motherson's Automotive Plant in KEZAD Industrial Zone - Autocar Professional | Motherson partners ADIO for auto components manufacturing hub in Abu Dhabi; 1,000 jobs planned - Fortune India | Samvardhana Motherson establishes automotive lighting facility in Gujarat - Business Stand Motherson Group Motherson Group - Proud to be part of. A diversified global design, engineering, manufacturing, assembly, and logistics specialist Ordinary people doing extraordinary things Investors in Motherson Company Updates Looking for a specific Motherson address? Company Business Divisions Five-year Plans Sustainability and Global Citizenship Partnerships History Group Policies Global Presence Our story: Locally Made, Globally Preferred Business Divisions Five-year Plans Sustainability an"
Bosch India,True,2,"['customer', 'mobility', 'quality', 'service']",Home | Bosch in India,"Bosch in India - Bosch Global | Bosch's India unit posts quarterly profit rise on strong auto parts, electronics demand - Reuters | Bosch plans to acquire Bosch Chassis Systems India to strengthen portfolio - ET Auto | Bosch Limited to acquire Bosch Chassis Systems India for ₹9,068.68 crore - The Hindu | Bosch Ltd to Acquire Bosch Chassis Systems India in Full Buyout to Strengthen Automotive Safety Portfolio - ACKO Drive","Bosch in India - Bosch Global | Bosch's India unit posts quarterly profit rise on strong auto parts, electronics demand - Reuters | Bosch plans to acquire Bosch Chassis Systems India to strengthen portfolio - ET Auto | Bosch Limited to acquire Bosch Chassis Systems India for ₹9,068.68 crore - The Hindu | Bosch Ltd to Acquire Bosch Chassis Systems India in Full Buyout to Strengthen Automotive Safety Portfolio - ACKO Drive Home | Bosch in India Invented for life: we want our products to spark enthusiasm, improve quality of life, and help conserve natural resources. The Bosch Limited Annual Report 2024-25 Get in touch with us News Find your way to our products Bosch on social media Bosch customer service Products and services Main Navigation Products and services Overview Mobility At home Industry and trades Products and services Our company Main Navigation Our company Bosch in India Our responsibility Main Navigat"
Bharat Forge,True,2,"['ev', 'mobility', 'service']","Leading Forging Company in India | Bharat Forge Pune, India","Bharat Forge arm and Paramount unveil made-in-India next-gen armoured vehicle at global stage - The Times of India | Global Automotive Crankshaft Market: Top Companies Held Nearly 53% Share In 2024 - Autopunditz | Bharat Forge arm, Paramount unveil next-generation Simha 4x4 armoured vehicle: What are its key features? - The Economic Times | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Bharat Forge arm unveils next-generation Simha 4x4 armoured vehicle at Eurosatory 2026, targets global defence markets - Fortune India","Bharat Forge arm and Paramount unveil made-in-India next-gen armoured vehicle at global stage - The Times of India | Global Automotive Crankshaft Market: Top Companies Held Nearly 53% Share In 2024 - Autopunditz | Bharat Forge arm, Paramount unveil next-generation Simha 4x4 armoured vehicle: What are its key features? - The Economic Times | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Bharat Forge arm unveils next-gene Leading Forging Company in India | Bharat Forge Pune, India Bharat Forge is one of the leading forging companies in India. A preferred technology and engineering driven development partner and global leader in metal forming, Bharat Forge serves several sectors including Automotive, Railways, Aerospace, Marine, Oil and Gas, Power, Construction and Mining. Media Press Releases Brand Identity Media Kit Brand Movies CCI Form III publication Press Releases Brand Identity Media Kit Brand Movies CCI Fo"
Uno Minda,True,2,"['commercial vehicle', 'component', 'ev', 'mobility']",Uno Minda - Leading Auto Components & Systems Manufacturer,"Uno Minda aims to power every future vehicle, regardless of technology: Chairman Nirmal Minda - ET Auto | ‘Uno Minda Is Positioned to Aggressively Expand Its Global Footprint,’ Says Nirmal Minda - Autocar Professional | Uno Minda to Launch EV Powertrain and Sunroof Business - Entrepreneur India | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Uno Minda to invest Rs 550 crore in establishing second plant for EV powertrain - The New Indian Express","Uno Minda aims to power every future vehicle, regardless of technology: Chairman Nirmal Minda - ET Auto | ‘Uno Minda Is Positioned to Aggressively Expand Its Global Footprint,’ Says Nirmal Minda - Autocar Professional | Uno Minda to Launch EV Powertrain and Sunroof Business - Entrepreneur India | Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Uno Minda to invest Rs 550 crore in establishing second plant for EV powertrain - The New Ind Uno Minda - Leading Auto Components & Systems Manufacturer Uno Minda: Innovating automotive technology with premium components for OEMs worldwide. Explore products from switches and lighting to EV solutions and smart mobility systems. Driving The New Future of Mobility Find anything about our products, search our documentation, and more. About Us Group Companies Products Investors Technology ESG Contact us About Us Group Overview The Group Vision The Group Values Group Corporate Structure Leader"
Sona BLW Precision Forgings,True,2,"['component', 'connected', 'electric', 'ev', 'manufacturing', 'mobility', 'quality', 'supplier']",Automotive Systems & Components Manufacturer | Leading Automotive Company in India,"India’s Biggest Auto IPOs: How Mobility Became A Major Dalal Street Theme - Autopunditz | Strong EV demand, diversified portfolio to sustain growth for Sona BLW - Business Standard | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Auto stocks to buy with up to 47% potential upside, ahead of May auto sales data - Business Today | Sona BLW Precision Forgings Ltd. posts ₹1,272 crore Q4 revenue with 47% growth - Manufacturing Today India","India’s Biggest Auto IPOs: How Mobility Became A Major Dalal Street Theme - Autopunditz | Strong EV demand, diversified portfolio to sustain growth for Sona BLW - Business Standard | Bharat Forge, Sona BLW, other auto ancillary stocks in focus as US offers tariff relief on auto parts - Moneycontrol.com | Auto stocks to buy with up to 47% potential upside, ahead of May auto sales data - Business Today | Sona BLW Precision Forgings Ltd. posts ₹1,272 crore Q4 revenue with 47% growth - Manufacturing Automotive Systems & Components Manufacturer | Leading Automotive Company in India Sona Comstar is a global automotive systems & components manufacturer with 9 plants spread across India, China, Mexico, and the USA. The company is one of India's leading automotive technology companies, designing, manufacturing and supplying highly engineered, mission critical automotive systems and components Precision Drivetrain Products Leading Innovation e-Propulsion Products Company Chairman Emeritus Journey"
Endurance Technologies,True,1,"['component', 'manufacturing', 'production']",,"Endurance Technologies IPO Opens, Aims to Raise Nearly Rs 1,162 Crore - Interim Report - dars.gov.et | Endurance Technologies Completes Italian Subsidiary Merger - Autocar Professional | Endurance Technologies expands ABS production capacity - Manufacturing Today India | How Anurang Jain turned Endurance into a global auto components powerhouse - Forbes India | Rajshekhar G Sindhanakera Appointed VAP Head – India Business at Endurance Technologies Ltd. - hrtoday.in","Endurance Technologies IPO Opens, Aims to Raise Nearly Rs 1,162 Crore - Interim Report - dars.gov.et | Endurance Technologies Completes Italian Subsidiary Merger - Autocar Professional | Endurance Technologies expands ABS production capacity - Manufacturing Today India | How Anurang Jain turned Endurance into a global auto components powerhouse - Forbes India | Rajshekhar G Sindhanakera Appointed VAP Head – India Business at Endurance Technologies Ltd. - hrtoday.in"
Varroc Engineering,True,2,"['aftermarket', 'component', 'electric', 'ev', 'manufacturing', 'mobility']",Varroc Engineering | Leading Auto Components Manufacturer,Varroc Engineering Wins ET AutoTech Award 2026 for In Cabin Innovation and Smart Vehicle Technology Excellence - chshyd.in | Varroc Engineering Wins ET AutoTech Award 2026 - Machine Maker | Varroc eyes India’s growing digital cockpit market with China’s Tolyy - ET Auto | Varroc Engineering Secures Major High Voltage Electronics Contract with EV Manufacturer - Autocar Professional | Varroc Engineering launches third Eureka Challenge to connect engineering students with industry problems - Manufacturing Today India,"Varroc Engineering Wins ET AutoTech Award 2026 for In Cabin Innovation and Smart Vehicle Technology Excellence - chshyd.in | Varroc Engineering Wins ET AutoTech Award 2026 - Machine Maker | Varroc eyes India’s growing digital cockpit market with China’s Tolyy - ET Auto | Varroc Engineering Secures Major High Voltage Electronics Contract with EV Manufacturer - Autocar Professional | Varroc Engineering launches third Eureka Challenge to connect engineering students with industry problems - Manufac Varroc Engineering | Leading Auto Components Manufacturer Varroc Eng. Pvt. Ltd in India, is a leading global auto tech company with products in electrical, electronics, lighting, polymer, metallic, aftermarket, and advanced safety solutions. ABOUT US Privacy Policy Cookies Policy About us Overview Leadership Team Business Locations Our Vision Awards Media In The News Gallery Media Kit Media Contact Specialised Offerings Telematics Platform Fleet Management Solutions Aftermarket solutions Fleet M"
Amara Raja Energy & Mobility,True,1,"['battery', 'ev', 'mobility', 'service']",,"China curbs no bar: Amara Raja goes solo to unlock homegrown battery tech for India - Business Today | Amara Raja plans ₹1,700 crore capex push for FY27; targets Q1 FY28 lithium plant launch - ET Auto | Amara Raja Energy & Mobility's (NSE:ARE&M) Problems Go Beyond Weak Profit - simplywall.st | Amara Raja Posts Strong FY26 Revenue Growth at 13,549 Crore - Entrepreneur India | Amara Raja Energy & Mobility Launches Amaron Assist to Enter Automotive and Battery Services Segment - scanx.trade","China curbs no bar: Amara Raja goes solo to unlock homegrown battery tech for India - Business Today | Amara Raja plans ₹1,700 crore capex push for FY27; targets Q1 FY28 lithium plant launch - ET Auto | Amara Raja Energy & Mobility's (NSE:ARE&M) Problems Go Beyond Weak Profit - simplywall.st | Amara Raja Posts Strong FY26 Revenue Growth at 13,549 Crore - Entrepreneur India | Amara Raja Energy & Mobility Launches Amaron Assist to Enter Automotive and Battery Services Segment - scanx.trade"
Exide Industries,True,2,"['battery', 'ev', 'export', 'manufacturing']",Exide - India's largest selling batteries,"Exide Industries rallies 7% on huge volumes, nears 52-week high; here's why - Business Standard | Indian battery maker Exide's quarterly profit rises 22% on auto demand - Reuters | Best Battery Stocks in India 2026 - Groww | Exide Industries Introduces AGMi – A Future-Ready AGM Battery Range for Advanced Passenger Vehicles - ThePrint | Exide Industries to grow exports by taking advantage of trade deals - The Economic Times","Exide Industries rallies 7% on huge volumes, nears 52-week high; here's why - Business Standard | Indian battery maker Exide's quarterly profit rises 22% on auto demand - Reuters | Best Battery Stocks in India 2026 - Groww | Exide Industries Introduces AGMi – A Future-Ready AGM Battery Range for Advanced Passenger Vehicles - ThePrint | Exide Industries to grow exports by taking advantage of trade deals - The Economic Times Exide - India's largest selling batteries You can also register your Battery/Inverter through: ABOUT Profile About Exide Vision & Mission Heritage Global Presence Our Brands Exide SF Batteries Dynex Batteries Leadership Board of Directors Board Committees Executive Committee Profile About Exide Vision & Mission Heritage Global Presence Our Brands Exide SF Batteries Dynex Batteries Leadership Board of Directors Board Committees Executive Committee Manufacturing Facilities Research & Development P"
Minda Corporation,True,2,"['battery', 'component', 'electric', 'ev', 'manufacturing', 'mobility']",Leading Auto Component Manufacturer In India | Spark Minda,"Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Minda Corporation Reports Rs 6,185 Crore Revenue In FY2026, EBITDA Stands At Rs 721 Crore - BW Auto World | Spark Minda Green Mobility forms JV with UK-based Turntide to develop next-gen powertrain solutions - ET Auto | Minda Corporation and Turntide Technologies Form Joint Venture for Indian EV Market - Autocar Professional | Minda Corporation Reports Record Revenue and EBITDA for FY26 - Machine Maker","Top 10 Auto Component Manufacturers in India: The Companies Powering the Automotive Industry - Autopunditz | Minda Corporation Reports Rs 6,185 Crore Revenue In FY2026, EBITDA Stands At Rs 721 Crore - BW Auto World | Spark Minda Green Mobility forms JV with UK-based Turntide to develop next-gen powertrain solutions - ET Auto | Minda Corporation and Turntide Technologies Form Joint Venture for Indian EV Market - Autocar Professional | Minda Corporation Reports Record Revenue and EBITDA for FY26 - Leading Auto Component Manufacturer In India | Spark Minda Smarter Solutions for people and planet Divisions Partnerships Overseas Products & Solutions 2W Vehicle Access Division 4W Vehicle Access Division Die Casting Division Electrical Distribution System Division Innovation & Technology PRODUCTS & SOLUTIONS Divisions 2W Vehicle Access Division 4W Vehicle Access Division Die Casting Division Electrical Distribution System Division Interior Plastics Division Drivers 2W Vehicle Access Division 4"
JBM Auto,True,2,"['charging', 'component', 'electric', 'ev']",Largest Electric Bus Manufacturer in the world | EV Ecosystem Company in India,"JBM Electric Vehicles Teams Up with Al Habtoor Motors to Bring E-Buses to the UAE - Machine Maker | JBM Auto Leads India’s Electric Bus Market with 49% Share in May 2026 - Passionate In Marketing | Bosch, JBM Auto, Igarashi rally up to 12%; why are OEM shares in demand? - Business Standard | Olectra Greentech, JBM Auto shares rally up to 7.6%; what investors need to know - Upstox | JBM Auto Shares Outlook as India EV Growth and Global Trends Accelerate - Vocal","JBM Electric Vehicles Teams Up with Al Habtoor Motors to Bring E-Buses to the UAE - Machine Maker | JBM Auto Leads India’s Electric Bus Market with 49% Share in May 2026 - Passionate In Marketing | Bosch, JBM Auto, Igarashi rally up to 12%; why are OEM shares in demand? - Business Standard | Olectra Greentech, JBM Auto shares rally up to 7.6%; what investors need to know - Upstox | JBM Auto Shares Outlook as India EV Growth and Global Trends Accelerate - Vocal Largest Electric Bus Manufacturer in the world | EV Ecosystem Company in India JBM Group is one of the Biggest Electric Bus Manufacturer: - World’s major Bus and Electric Vehicle Manufacturer, JBM Group’s unique well-to-wheel EV Ecosystem is playing a pivotal role in propelling the global Net Zero Goals. About Chairman’s Message Vice Chairman’s Message Vice Chairman’s Message Businesses Auto Components & Systems Buses & Electric Vehicles EV Aggregates EV Charging Infrastructure Renewables Enviro"
Sundaram Clayton,True,2,"['ev', 'expansion']",Sundaram Clayton Limited,Sundaram Clayton climbs after appointing R Venkatesh as CEO - Business Standard | Sundaram Clayton Reports 9% EBITDA Growth Despite Revenue Decline in Q2 FY2025-26 - scanx.trade | Lakshmi Venu: The Trailblazer Shaping India’s Automotive Future - Her Circle | Venu Srinivasan returns as chairman and MD of Sundaram Clayton - Business Standard | IN - Here’s how Sundaram-Clayton’s new foundry in Chennai will boost capacity expansion in the auto industry - foundry-planet.com,Sundaram Clayton climbs after appointing R Venkatesh as CEO - Business Standard | Sundaram Clayton Reports 9% EBITDA Growth Despite Revenue Decline in Q2 FY2025-26 - scanx.trade | Lakshmi Venu: The Trailblazer Shaping India’s Automotive Future - Her Circle | Venu Srinivasan returns as chairman and MD of Sundaram Clayton - Business Standard | IN - Here’s how Sundaram-Clayton’s new foundry in Chennai will boost capacity expansion in the auto industry - foundry-planet.com Sundaram Clayton Limited
