company_name,segment,category,website,business_notes,products_services,manufacturing_footprint,growth_signals,likely_data_assets,initial_relevance_tags,evidence_notes,source_categories
Samvardhana Motherson International,Tier-1 Supplier,"Automotive Components, Wiring, Modules, Interiors",https://www.motherson.com,Large automotive component supplier with global and Indian automotive customer base.,Wiring harnesses; Modules; Interiors; Mirrors; Polymer components,Large multi-location and global manufacturing footprint.,global customer base; multi-tier supply chain; EV component opportunity; supplier network complexity,Supplier data; production data; quality data; shipment data; customer order data,supply_chain; quality; warranty,Complex supplier and manufacturing network makes supply chain risk prediction highly relevant.,Company website; ACMA; Financial portals; Business news
Bosch India,Tier-1 Supplier,"Automotive Technology, Components, Mobility Solutions",https://www.bosch.in,Automotive technology and mobility solutions supplier with broad component and systems portfolio.,Automotive components; Mobility solutions; Electronics; Aftermarket solutions,"Manufacturing, engineering, and service presence in India.",mobility technology; electronics; aftermarket; supply chain complexity,Quality data; supplier data; aftermarket data; production data,supply_chain; warranty; aftermarket,Technology-heavy portfolio and aftermarket exposure create analytics opportunities.,Company website; ACMA; Financial portals; Business news
Bharat Forge,Component Manufacturer,"Forgings, Auto Components, Industrial Components",https://www.bharatforge.com,Large forging and component manufacturer serving automotive and industrial sectors.,Forged components; Powertrain components; Chassis components; Industrial components,Large manufacturing and export-oriented operations.,export exposure; EV component transition; industrial diversification; production complexity,Production data; quality data; supplier data; shipment data,supply_chain; quality; production,Manufacturing scale and export exposure indicate supply chain and quality analytics fit.,Company website; ACMA; Financial portals; Business news
Uno Minda,Tier-1 Supplier,"Automotive Components, Electronics, Lighting, Switches",https://www.unominda.com,"Automotive component supplier with products across electronics, lighting, switches, and systems.",Switches; Lighting; Acoustics; Seating; Electronics,Multiple plants and supply relationships with OEMs.,electronics growth; EV components; OEM dependency; multi-product complexity,Supplier data; quality data; production data; customer order data,supply_chain; warranty; quality; ev,Multi-product portfolio and OEM supply relationships indicate strong supply chain analytics need.,Company website; ACMA; Financial portals; Business news
Sona BLW Precision Forgings,Component Manufacturer,"EV Components, Drivetrain, Precision Forgings",https://sonacomstar.com,Automotive technology and component company with drivetrain and EV-related component focus.,Differential gears; Drivetrain components; EV traction motor components; Precision forgings,Manufacturing and global automotive supply exposure.,EV component growth; global customers; precision manufacturing; quality requirements,Quality data; production data; supplier data; customer delivery data,supply_chain; quality; ev; warranty,EV component exposure and precision manufacturing create strong analytics relevance.,Company website; ACMA; Financial portals; Business news
Endurance Technologies,Component Manufacturer,"Auto Components, Aluminum Die Casting, Suspension, Braking",https://www.endurancegroup.com,"Automotive component manufacturer serving two-wheeler, three-wheeler, and four-wheeler segments.",Aluminum die casting; Suspension; Transmission; Braking systems,Manufacturing footprint across India and overseas markets.,two-wheeler component demand; export exposure; manufacturing scale; quality focus,Production data; quality data; supplier data; shipment data,supply_chain; quality; warranty,Manufacturing scale and OEM dependency create supply chain and quality analytics fit.,Company website; ACMA; Financial portals; Business news
Varroc Engineering,Component Manufacturer,"Automotive Lighting, Electronics, Polymer Components",https://www.varroc.com,"Automotive component supplier with lighting, electronics, and polymer solutions.",Lighting systems; Electronics; Polymer components; Electrical systems,Manufacturing and supply footprint across automotive customers.,automotive electronics; lighting systems; EV component relevance; supplier complexity,Quality data; production data; supplier data; customer order data,supply_chain; quality; warranty; ev,Lighting/electronics complexity makes quality and supply chain analytics relevant.,Company website; ACMA; Financial portals; Business news
Amara Raja Energy & Mobility,Component Manufacturer,"Batteries, Energy Storage, Mobility",https://www.amararajaeandm.com,Battery and energy storage company serving automotive and industrial markets.,Automotive batteries; Industrial batteries; Energy storage; Mobility solutions,Battery manufacturing and distribution network in India.,battery demand; EV ecosystem; aftermarket battery network; energy storage growth,Warranty claims; dealer/channel data; production data; supplier data,warranty; supply_chain; dealer_intelligence; ev,"Battery warranty, aftermarket channel, and EV ecosystem create strong analytics fit.",Company website; ACMA; Financial portals; Business news
Exide Industries,Component Manufacturer,"Automotive Batteries, Energy Storage",https://www.exideindustries.com,Major battery manufacturer with automotive and industrial battery portfolio.,Automotive batteries; Industrial batteries; Energy storage solutions; Aftermarket channel,Battery manufacturing and dealer/distribution network in India.,battery replacement market; EV ecosystem; aftermarket network; energy storage,Warranty claims; dealer/channel data; production data; quality data,warranty; dealer_intelligence; supply_chain; aftermarket,Warranty and aftermarket data make this a strong fit for warranty and channel intelligence.,Company website; ACMA; Financial portals; Business news
Minda Corporation,Tier-1 Supplier,"Automotive Components, Security Systems, Electronics",https://www.sparkminda.com,"Automotive component supplier with security systems, wiring, electronics, and component solutions.",Locking systems; Wiring harnesses; Electronics; Interior systems,Manufacturing footprint and OEM supply relationships.,electronics growth; OEM dependency; EV component opportunity; quality requirements,Supplier data; quality data; production data; customer order data,supply_chain; quality; warranty; ev,Electronics and OEM supply relationships indicate analytics fit.,Company website; ACMA; Financial portals; Business news
JBM Auto,OEM / Component Manufacturer,"Electric Buses, Auto Components",https://www.jbmgroup.com,Automotive company active in auto components and electric mobility including buses.,Electric buses; Auto components; Systems; Manufacturing solutions,Manufacturing operations with EV and component relevance.,electric bus growth; public mobility; component manufacturing; supply chain needs,Fleet service data; warranty claims; production data; supplier data,warranty; supply_chain; field_service; ev,"EV bus operations create field service, warranty, and supply chain analytics opportunities.",Company website; ACMA; Business news; Financial portals
Sundaram Clayton,Component Manufacturer,"Aluminum Die Casting, Auto Components",https://www.sundaramclayton.com,Automotive component manufacturer focused on aluminum die-cast products.,Aluminum die castings; Machined components; Automotive components,Manufacturing operations serving automotive customers.,lightweighting demand; component manufacturing; quality requirements; OEM supply,Production data; quality data; supplier data; customer order data,supply_chain; quality; warranty,Precision manufacturing and OEM supply make supply chain and quality analytics relevant.,Company website; ACMA; Financial portals; Business news
Gabriel India,Component Manufacturer,"Ride Control Products, Suspension",https://www.anandgroupindia.com/gabrielindia,Automotive component manufacturer focused on ride control products and suspension systems.,Shock absorbers; Struts; Front forks; Suspension systems,Manufacturing and supply network serving OEMs and aftermarket.,aftermarket opportunity; OEM supply; quality requirements; vehicle parc growth,Warranty claims; aftermarket channel data; quality data; production data,warranty; dealer_intelligence; supply_chain; aftermarket,Aftermarket and warranty exposure create strong analytics fit.,Company website; ACMA; Financial portals; Business news
MRF,Component Manufacturer,"Tyres, Rubber Products",https://www.mrftyres.com,Major tyre manufacturer with OEM and aftermarket presence.,Tyres; Tubes; Rubber products; Aftermarket distribution,Manufacturing and distribution network across India.,aftermarket tyre demand; OEM relationships; quality and warranty exposure; distribution scale,Warranty claims; dealer/channel data; production quality data; distribution data,warranty; dealer_intelligence; aftermarket; supply_chain,Large aftermarket and warranty exposure make dealer and warranty analytics relevant.,Company website; ACMA; Financial portals; Business news
CEAT,Component Manufacturer,"Tyres, Mobility Products",https://www.ceat.com,Tyre manufacturer serving OEM and replacement markets.,Tyres; Mobility products; Aftermarket distribution,Manufacturing and dealer/distribution footprint in India.,replacement market; OEM supply; distribution network; quality and warranty exposure,Warranty claims; dealer/channel data; production quality data; sales data,warranty; dealer_intelligence; aftermarket,Replacement market and dealer/channel network create opportunity for dealer and warranty analytics.,Company website; ACMA; Financial portals; Business news
Ola Electric,EV OEM,"Electric Two-Wheelers, EV Mobility",https://www.olaelectric.com,Electric two-wheeler manufacturer focused on EV mobility.,Electric scooters; EV technology; Charging ecosystem,EV manufacturing and direct/customer support ecosystem.,EV adoption; battery and software complexity; service quality importance; supply chain dependency,Warranty claims; battery performance data; service data; customer experience data,warranty; dealer_intelligence; ev; field_service; supply_chain,"EV product complexity makes warranty, field service, and quality analytics highly relevant.",Company website; Business news; Financial portals
Ather Energy,EV OEM,"Electric Two-Wheelers, Charging Ecosystem",https://www.atherenergy.com,Electric two-wheeler company with connected scooter and charging ecosystem.,Electric scooters; Charging network; Connected mobility services,EV manufacturing and sales/service network in India.,connected EV data; charging ecosystem; service experience; battery analytics need,Battery data; vehicle telemetry; service records; warranty claims,warranty; dealer_intelligence; ev; field_service,Connected EV operations create strong data readiness for warranty and service intelligence.,Company website; Business news; Financial portals
